66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
66,66,66,66,66,66,64,65,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,67,45,23,22,23,22
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,64,65,71,68,68,68,68
66,66,64,65,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,71,68,68,68,68
66,66,66,66,66,66,66,66,66,40,41,42,66,66,66,66,66,66,66,66,45,44,66,66,66,71,68,68,68,68
43,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,46,47,66,66,66,71,68,68,68,68
66,66,66,66,66,66,66,66,66,66,66,66,66,45,23,22,22,44,66,66,66,66,66,66,66,71,68,68,68,68
66,66,43,66,66,66,66,66,66,66,66,66,66,46,68,68,68,47,66,66,66,66,66,66,66,71,68,68,68,68
66,66,66,66,66,40,41,42,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,71,68,68,68,68
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,71,68,68,68,68
66,66,66,66,66,66,66,66,66,64,65,66,66,66,66,66,66,66,66,66,66,66,66,66,66,71,68,68,68,68
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,71,68,68,68,68
66,66,40,41,42,66,66,66,66,66,66,66,66,16,17,18,19,66,66,66,66,66,66,66,66,71,68,68,68,68
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,71,68,68,68,68
66,66,66,66,66,66,40,41,42,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,71,68,68,68,68
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,64,65,66,66,66,66,66,71,68,68,68,68
196,197,197,197,197,198,198,198,198,199,196,197,197,197,197,197,197,197,197,197,197,197,197,197,198,71,68,68,68,68
