66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
66,4,5,6,7,8,9,5,6,7,8,9,4,5,6,7,8,9,10,11
66,28,29,30,31,32,33,29,30,31,32,33,28,29,30,31,32,33,34,35
66,52,53,54,55,56,57,53,54,55,56,57,52,53,54,55,56,57,58,59
66,76,77,78,79,80,81,77,78,79,80,81,76,77,78,79,80,81,82,83
66,100,101,102,103,104,105,101,102,103,104,105,100,101,102,103,104,105,106,107
66,66,125,126,127,128,129,125,126,127,128,129,124,125,126,127,128,129,130,131
66,66,149,150,151,152,153,149,150,151,152,153,148,149,150,151,152,153,154,155
196,197,173,174,175,176,177,173,174,175,176,177,172,173,174,175,176,177,178,179
